Phase= 0, Time=   4, Destination=(0,0), Source=(1,0), Packet Value=0000000000000000000000000000000100000000000000000000000100000000
Phase= 0, Time=   6, Destination=(0,0), Source=(0,1), Packet Value=0100000000000000000000010000000000000000000000000000000100000000
Phase= 0, Time=   8, Destination=(0,0), Source=(2,0), Packet Value=0000000000000000000000000000001000000000000000000000000100000000
Phase= 0, Time=  10, Destination=(0,0), Source=(0,2), Packet Value=0100000000000000000000100000000000000000000000000000000100000000
Phase= 0, Time=  12, Destination=(0,0), Source=(1,1), Packet Value=0100000000000000000000010000000100000000000000000000000100000000
Phase= 0, Time=  14, Destination=(0,0), Source=(0,3), Packet Value=0100000000000000000000110000000000000000000000000000000100000000
Phase= 0, Time=  16, Destination=(0,0), Source=(3,0), Packet Value=0000000000000000000000000000001100000000000000000000000100000000
Phase= 0, Time=  18, Destination=(0,0), Source=(1,2), Packet Value=0100000000000000000000100000000100000000000000000000000100000000
Phase= 0, Time=  20, Destination=(0,0), Source=(2,1), Packet Value=0100000000000000000000010000001000000000000000000000000100000000
Phase= 0, Time=  22, Destination=(0,0), Source=(1,3), Packet Value=0100000000000000000000110000000100000000000000000000000100000000
Phase= 0, Time=  24, Destination=(0,0), Source=(3,1), Packet Value=0100000000000000000000010000001100000000000000000000000100000000
Phase= 0, Time=  26, Destination=(0,0), Source=(2,2), Packet Value=0100000000000000000000100000001000000000000000000000000100000000
Phase= 0, Time=  28, Destination=(0,0), Source=(3,2), Packet Value=0100000000000000000000100000001100000000000000000000000100000000
Phase= 0, Time=  30, Destination=(0,0), Source=(2,3), Packet Value=0100000000000000000000110000001000000000000000000000000100000000
Phase= 0, Time=  32, Destination=(0,0), Source=(3,3), Packet Value=0100000000000000000000110000001100000000000000000000000100000000
Phase= 1, Time=  38, Destination=(0,1), Source=(1,1), Packet Value=1000000000000000000000010000000100000000000000000000000100000001
Phase= 1, Time=  40, Destination=(0,1), Source=(0,0), Packet Value=1000000000000000000000000000000000000000000000000000000100000001
Phase= 1, Time=  42, Destination=(0,1), Source=(0,2), Packet Value=1100000000000000000000100000000000000000000000000000000100000001
Phase= 1, Time=  44, Destination=(0,1), Source=(2,1), Packet Value=1000000000000000000000010000001000000000000000000000000100000001
Phase= 1, Time=  46, Destination=(0,1), Source=(0,3), Packet Value=1100000000000000000000110000000000000000000000000000000100000001
Phase= 1, Time=  48, Destination=(0,1), Source=(1,0), Packet Value=1000000000000000000000000000000100000000000000000000000100000001
Phase= 1, Time=  50, Destination=(0,1), Source=(1,2), Packet Value=1100000000000000000000100000000100000000000000000000000100000001
Phase= 1, Time=  52, Destination=(0,1), Source=(3,1), Packet Value=1000000000000000000000010000001100000000000000000000000100000001
Phase= 1, Time=  54, Destination=(0,1), Source=(1,3), Packet Value=1100000000000000000000110000000100000000000000000000000100000001
Phase= 1, Time=  56, Destination=(0,1), Source=(2,0), Packet Value=1000000000000000000000000000001000000000000000000000000100000001
